How many times specializaion failed for a symbol during Agda build, without -foptimise-heavily
("Data.Set.Internal.$fShowSet_$cshowsPrec",10)
("GHC.Maybe.$fEqMaybe",10)
("GHC.Show.$fShow(,)",10)
("Test.QuickCheck.Arbitrary.$fArbitraryList",10)
("lookupMetaJudgement",10)
("lookupS",10)
("noConstraints",10)
("tasty-1.4.3-BOoXoejCOQfLv4EjIsoj19:Test.Tasty.Core.SingleTest",10)
("Agda.TypeChecking.Monad.Base.$fHasOptionsTCMT_$cp1HasOptions",9)
("Agda.TypeChecking.Monad.Base.$fMonadReduceTCMT1",9)
("Agda.TypeChecking.Monad.Context.$w$caddContext1",9)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugExceptT",9)
("Agda.TypeChecking.Names.$fHasBuiltinsNamesT",9)
("Agda.TypeChecking.Names.$fMonadErroreNamesT",9)
("Agda.TypeChecking.Names.$fMonadTCEnvNamesT",9)
("Agda.TypeChecking.Names.$fReadTCStateNamesT",9)
("Bench.billTo",9)
("Control.Monad.Error.Class.$fMonadErroreExceptT",9)
("Control.Monad.Error.Class.C:MonadError",9)
("Control.Monad.Trans.State.Lazy.$fFunctorStateT",9)
("Data.Sequence.Internal.$fNFDataFingerTree_$crnf",9)
("Data.Set.Internal.$fNFDataSet_$crnf",9)
("GHC.Ix.indexError",9)
("Internal.Helpers.isMonoid1",9)
("compareType",9)
("constructorForm",9)
("ghc-prim:GHC.Classes.$fEqList",9)
("intervalView'",9)
("pPi'",9)
("Agda.Syntax.Internal.$fShowType''",8)
("Agda.Syntax.Position.$fHasRangeNonEmpty_$cgetRange",8)
("Agda.TypeChecking.Names.$fApplicativeNamesT",8)
("Agda.TypeChecking.Names.bind1",8)
("Agda.TypeChecking.Substitute.$fSubstSort'",8)
("Control.Monad.Trans.State.Lazy.$fApplicativeStateT",8)
("Data.Sequence.Internal.$fEqSeq_$c==",8)
("Data.Sequence.Internal.$fOrdSeq_$ccompare",8)
("GHC.Base.$fOrdNonEmpty",8)
("base:Data.Semigroup.Internal.$fMonoidDual",8)
("garr",8)
("getLanguage",8)
("hashable-1.4.2.0-JpceLkdcZ7ZDqNNSVzcDJ:Data.Hashable.Class.C:Hashable",8)
("nPi'",8)
("Agda.Interaction.Options.HasOptions.C:HasOptions",7)
("Agda.Syntax.Concrete.Pretty.$fPretty(,)_$cpretty",7)
("Agda.TypeChecking.Monad.Base.$fMonadBlockBlockT",7)
("Agda.TypeChecking.Monad.Base.$fReadTCStateExceptT",7)
("Agda.TypeChecking.Monad.Base.C:MonadTCEnv",7)
("Agda.TypeChecking.Monad.Builtin.$fHasBuiltinsExceptT",7)
("Agda.TypeChecking.Monad.Pure.$fPureTCMBlockT",7)
("Agda.TypeChecking.Monad.Signature.$fHasConstInfoReaderT",7)
("Agda.TypeChecking.Pretty.$fPrettyTCMSubstitution'_$cprettyTCM",7)
("Agda.TypeChecking.Reduce.$fInstantiateFullList_$cinstantiateFull'",7)
("Agda.TypeChecking.Serialise.Base.$fICODEFUNFalse_$cicodeArgs",7)
("Agda.TypeChecking.Serialise.Base.C:EmbPrj",7)
("Agda.TypeChecking.Substitute.Class.C:Subst",7)
("Agda.TypeChecking.Telescope.$fPiApplyMArg",7)
("Control.Monad.Fail.C:MonadFail",7)
("Control.Monad.Trans.Writer.Lazy.$fMonadWriterT1",7)
("GHC.Base.$fOrdNonEmpty_$ccompare",7)
("P.prettyList_",7)
("applyModalityToContext",7)
("funFlag",7)
("inplaceS",7)
("intervalUnview'",7)
("isSizeTypeTest",7)
("prettyTCMPatternList",7)
("sep",7)
("singletonS",7)
("telViewUpToPathBoundary'",7)
("tickICode",7)
("Agda.Syntax.Abstract.$fShowPattern'",6)
("Agda.Syntax.Internal.$fShowSubstitution'_$cshowsPrec",6)
("Agda.Syntax.Internal.Elim.$fTraversableElim'_$ctraverse",6)
("Agda.Syntax.Position.$fShowRange'",6)
("Agda.TypeChecking.Free.Lazy.$fFree(,)_$cfreeVars'",6)
("Agda.TypeChecking.Monad.Base.$fMonadFailTCMT1",6)
("Agda.TypeChecking.Monad.Base.$fMonadTCEnvStateT",6)
("Agda.TypeChecking.Monad.Base.$fReadTCStateStateT",6)
("Agda.TypeChecking.Monad.Base.C:ReadTCState",6)
("Agda.TypeChecking.Monad.Signature.$fHasConstInfoStateT",6)
("Agda.TypeChecking.Names.bind4",6)
("Agda.TypeChecking.Pretty.$fPrettyTCMInt_$cprettyTCM",6)
("Agda.TypeChecking.Reduce.$fReduceArg_$creduceB'",6)
("Agda.TypeChecking.Substitute.$fSubstList",6)
("Agda.Utils.Functor.C:Decoration",6)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.fromEdges2",6)
("Control.Monad.Error.Class.$fMonadErroreExceptT1",6)
("Control.Monad.IO.Class.C:MonadIO",6)
("Control.Monad.State.Class.C:MonadState",6)
("Control.Monad.Trans.Except.$fMonadExceptT",6)
("Control.Monad.Trans.Reader.$fMonadReaderT",6)
("Data.Map.Internal.$fEqMap_$c==",6)
("Data.Map.Internal.$fNFDataMap_$crnf",6)
("Data.Map.Internal.$fShowMap_$cshowsPrec",6)
("Test.QuickCheck.Arbitrary.$fArbitrary(,)1",6)
("base:Data.Semigroup.Internal.$fMonoidSum",6)
("canonicalName",6)
("curIF",6)
("dontAssignMetas",6)
("isPrefixOf",6)
("lookupInteractionId",6)
("pathView'",6)
("Agda.Compiler.Backend.Backend",5)
("Agda.Syntax.Common.Pretty.prettyList_",5)
("Agda.Syntax.Internal.$fKillRangeDom'_$ckillRange",5)
("Agda.Syntax.Internal.$fLensSortDom'",5)
("Agda.Syntax.Internal.$fShowDom'_$cshowsPrec",5)
("Agda.Syntax.Internal.Blockers.$fMonoidBlocked'_$c<>",5)
("Agda.Syntax.Internal.Elim.$fPrettyElim'_$cprettyList",5)
("Agda.Syntax.Internal.Elim.$fPrettyElim'_$cprettyPrec",5)
("Agda.Syntax.Internal.Elim.$w$cshowsPrec",5)
("Agda.Syntax.Internal.Generic.$fTermLike(,)_$ctraverseTermM1",5)
("Agda.Syntax.Internal.MetaVars.allMetas'_$sallMetas'",5)
("Agda.TypeChecking.Coverage.SplitTree.$fPrettySplitTree'_$cpretty",5)
("Agda.TypeChecking.Monad.Base.$fHasOptionsTCMT_$cpragmaOptions",5)
("Agda.TypeChecking.Monad.Base.$fMonadTCEnvExceptT",5)
("Agda.TypeChecking.Monad.Base.C:MonadTCState",5)
("Agda.TypeChecking.Monad.Builtin.C:HasBuiltins",5)
("Agda.TypeChecking.Monad.Context.C:MonadAddContext",5)
("Agda.TypeChecking.Monad.Context.underAbstraction_$sunderAbstraction",5)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugStateT",5)
("Agda.TypeChecking.Monad.Debug.C:MonadDebug",5)
("Agda.TypeChecking.Monad.Pure.C:PureTCM",5)
("Agda.TypeChecking.Monad.Signature.$fHasConstInfoExceptT",5)
("Agda.TypeChecking.Monad.Signature.$fHasConstInfoExceptT_$cgetConstInfo",5)
("Agda.TypeChecking.Monad.Signature.C:HasConstInfo",5)
("Agda.TypeChecking.Names.open1",5)
("Agda.TypeChecking.Pretty.$fPrettyTCMArg3_$cprettyTCM",5)
("Agda.TypeChecking.Pretty.$fPrettyTCMModality_$cprettyTCM",5)
("Agda.TypeChecking.Pretty.Constraint.$fPrettyTCMConstraint_$cprettyTCM",5)
("Agda.TypeChecking.Reduce.$fNormalise(,)_$cnormalise'",5)
("Agda.TypeChecking.Reduce.$fReduce(,)_$creduce'",5)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjList_$cvalue",5)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjMaybe0",5)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjMaybe2",5)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjSet",5)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjSet_$cvalue",5)
("Agda.TypeChecking.Substitute.$fSubstAbs",5)
("Agda.TypeChecking.Substitute.$fSubstArg",5)
("Agda.TypeChecking.Telescope.$fPiApplyMList_$cpiApplyM'",5)
("Agda.Utils.RangeMap.$fMonoidRangeMap_$c<>",5)
("Control.Monad.Trans.Except.$fMonadExceptT1",5)
("Control.Monad.Trans.Writer.Lazy.$fMonadWriterT",5)
("Data.Map.Internal.$w$cshowsPrec",5)
("Data.Strict.Maybe.$fOrdMaybe",5)
("GHC.Base.$fEqNonEmpty",5)
("Test.QuickCheck.Modifiers.$fArbitraryNonNegative_$carbitrary",5)
("addClauses",5)
("allMetas'",5)
("compareElims",5)
("fastDistinct",5)
("getBuiltinName",5)
("getFullyAppliedConType",5)
("getSigmaKit",5)
("getTerm",5)
("ghc-prim:GHC.Classes.$fOrd(,)",5)
("hPi'",5)
("isProblemSolved",5)
("isPropM",5)
("lookupMetaInstantiation",5)
("newArgsMeta'",5)
("telePatterns'",5)
("use",5)
("withScope",5)
("Agda.Syntax.Abstract.Pattern.$fAPatternLikePattern'_$cfoldrAPattern",4)
("Agda.Syntax.Common.$fEqRanged",4)
("Agda.Syntax.Common.$fNFDataImportDirective'_$crnf",4)
("Agda.Syntax.Concrete.Pretty.$fPretty(,)",4)
("Agda.Syntax.Concrete.Pretty.$fPrettyArg",4)
("Agda.Syntax.Internal.$fPrettyDom'_$cprettyList",4)
("Agda.Syntax.Internal.$fPrettySubstitution'",4)
("Agda.Syntax.Internal.$fShowDom'",4)
("Agda.Syntax.Internal.$fShowLevel'_$cshowsPrec",4)
("Agda.Termination.SparseMatrix.$fEqMatrix_$c==",4)
("Agda.TypeChecking.CompiledClause.$fShowCompiledClauses'_$cshowsPrec",4)
("Agda.TypeChecking.Free.Lazy.$fFreeDom'_$s$cfreeVars'",4)
("Agda.TypeChecking.Monad.Base.$fMonadReduceExceptT",4)
("Agda.TypeChecking.Monad.Base.$fMonadTCEnvReaderT",4)
("Agda.TypeChecking.Monad.Base.$fMonadTCEnvReaderT_$clocalTC",4)
("Agda.TypeChecking.Monad.Base.$fReadTCStateReaderT",4)
("Agda.TypeChecking.Monad.Base.C:MonadReduce",4)
("Agda.TypeChecking.Monad.Base.C:MonadTCM",4)
("Agda.TypeChecking.Monad.Builtin.$fHasBuiltinsReaderT",4)
("Agda.TypeChecking.Monad.Context.$fMonadAddContextExceptT",4)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugBlockT_$cnowDebugPrinting",4)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugBlockT_$ctraceDebugMessage",4)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugMaybeT",4)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugReaderT",4)
("Agda.TypeChecking.Monad.Signature.$fHasConstInfoReaderT_$cgetConstInfo",4)
("Agda.TypeChecking.Pretty.$fPrettyTCMBlocker_$cprettyTCM",4)
("Agda.TypeChecking.Pretty.$fPrettyTCMClause_$cprettyTCM1",4)
("Agda.TypeChecking.Pretty.Constraint.$fPrettyTCMProblemConstraint_$cprettyTCM",4)
("Agda.TypeChecking.Primitive.Base.garr",4)
("Agda.TypeChecking.Reduce.$fInstantiateFull(,)_$cinstantiateFull'",4)
("Agda.TypeChecking.Reduce.$fNormaliseList_$cnormalise'",4)
("Agda.TypeChecking.Reduce.$fReduceArg",4)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjList",4)
("Agda.TypeChecking.Telescope.Path.$fIApplyVarsPattern'_$ciApplyVars",4)
("Agda.Utils.List2.$fShowList2_$cshowsPrec",4)
("Agda.Utils.RangeMap.$fShowRangeMap_$cshowsPrec",4)
("Control.Monad.Reader.Class.$fMonadReaderrReaderT",4)
("Control.Monad.State.Class.$fMonadStatesStateT0",4)
("Control.Monad.Trans.Reader.$fMonadIOReaderT",4)
("Control.Monad.Trans.State.Lazy.$fAlternativeStateT3",4)
("Data.HashMap.Internal.equalKeys",4)
("GHC.Exception.Type.C:Exception",4)
("GHC.Exception.Type.SomeException",4)
("GHC.Real.C:Integral",4)
("GHC.Real.C:Real",4)
("List.stripPrefix",4)
("Test.QuickCheck.Arbitrary.$fArbitraryList1",4)
("applyDef",4)
("applyRelevanceToContextOnly",4)
("billTo",4)
("combineSys'",4)
("defaultAction",4)
("defaultGetRewriteRulesFor",4)
("distinct",4)
("getVisitedModule",4)
("ghc-prim:GHC.Classes.$fEq(,,)_$c==",4)
("glam",4)
("isEtaRecordType",4)
("lookupBV",4)
("lookupMutualBlock",4)
("modifyGlobalDefinition",4)
("sameModality",4)
("splitExactlyAt",4)
("throw",4)
("traceSDoc",4)
("usableAtModality'",4)
("$crecurseExpr",3)
("$cshrinkC",3)
("$ctoConcrete",3)
("$ctraverseTermM",3)
("<@@>",3)
("Agda.Syntax.Abstract.$fTraversablePattern'_$ctraverse",3)
("Agda.Syntax.Common.$fEqImportDirective'_$c==",3)
("Agda.Syntax.Common.$fEqNamed_$c==",3)
("Agda.Syntax.Common.$fEqTerminationCheck_$c==",3)
("Agda.Syntax.Common.$fEqWithOrigin",3)
("Agda.Syntax.Common.$fNFDataRecordDirectives'_$crnf",3)
("Agda.Syntax.Common.$fShowArg",3)
("Agda.Syntax.Common.$fShowRanged_$cshowsPrec",3)
("Agda.Syntax.Common.$fShowRecordDirectives'_$cshowsPrec",3)
("Agda.Syntax.Common.$fShowTerminationCheck_$cshowsPrec",3)
("Agda.Syntax.Common.$w$cshowsPrec15",3)
("Agda.Syntax.Common.C:Underscore",3)
("Agda.Syntax.Common.Pretty.$fPrettyDoc_$cprettyList",3)
("Agda.Syntax.Common.Pretty.$fPrettyMaybe_$cprettyList",3)
("Agda.Syntax.Concrete.Pattern.$fCPatternLikePattern_$cfoldrCPattern",3)
("Agda.Syntax.Concrete.Pretty.$fPrettyBinder'",3)
("Agda.Syntax.Internal.$fShowPattern'",3)
("Agda.Syntax.Internal.Blockers.$fMonoidBlocked'",3)
("Agda.Syntax.Internal.Blockers.$w$cshowsPrec",3)
("Agda.Syntax.Internal.Generic.$fTermLikeArg",3)
("Agda.Syntax.Internal.Generic.$fTermLikeElim'",3)
("Agda.Syntax.Internal.Generic.$fTermLikeList_$ctraverseTermM",3)
("Agda.Syntax.Position.$fHasRange(,,)_$cgetRange",3)
("Agda.Syntax.Position.$fShowInterval'_$cshowsPrec",3)
("Agda.Syntax.Position.$fShowRange'_$cshow",3)
("Agda.Syntax.Position.$w$cgetRange",3)
("Agda.Syntax.Translation.AbstractToConcrete.$fToConcreteBinder'",3)
("Agda.Syntax.Translation.AbstractToConcrete.$fToConcreteClause'_$ctoConcrete",3)
("Agda.Syntax.Translation.AbstractToConcrete.$fToConcreteList_$ctoConcrete",3)
("Agda.Termination.SparseMatrix.$fDiagonalMatrixb_$cdiagonal",3)
("Agda.Termination.SparseMatrix.$fPrettyMatrix_$cpretty",3)
("Agda.TypeChecking.CheckInternal.$fCheckInternalTerm_$ccheckInternal",3)
("Agda.TypeChecking.Constraints.noConstraints",3)
("Agda.TypeChecking.Free.Lazy.$w$cmconcat",3)
("Agda.TypeChecking.Free.Lazy.C:IsVarSet",3)
("Agda.TypeChecking.Monad.Base.$fMonadFreshiTCMT1",3)
("Agda.TypeChecking.Monad.Base.$fMonadIOTCMT1",3)
("Agda.TypeChecking.Monad.Base.$fMonadReduceExceptT_$cliftReduce",3)
("Agda.TypeChecking.Monad.Base.$fMonadTCEnvStateT_$clocalTC",3)
("Agda.TypeChecking.Monad.Base.$fMonadTCMExceptT",3)
("Agda.TypeChecking.Monad.Base.$fMonadTCMReaderT",3)
("Agda.TypeChecking.Monad.Builtin.$fHasBuiltinsStateT",3)
("Agda.TypeChecking.Monad.Debug.$fMonadDebugWriterT",3)
("Agda.TypeChecking.Monad.Pure.$fPureTCMReaderT",3)
("Agda.TypeChecking.Monad.Pure.$fPureTCMWriterT",3)
("Agda.TypeChecking.Names.$fMonadReduceNamesT",3)
("Agda.TypeChecking.Names.$fSubstAbsN_$capplySubst",3)
("Agda.TypeChecking.Names.glam",3)
("Agda.TypeChecking.Pretty.$fPrettyTCMAbstractName_$cprettyTCM1",3)
("Agda.TypeChecking.Pretty.$fPrettyTCMArg0_$cprettyTCM",3)
("Agda.TypeChecking.Pretty.$fPrettyTCMDom'_$cprettyTCM",3)
("Agda.TypeChecking.Pretty.$fPrettyTCMNamedClause_$cprettyTCM",3)
("Agda.TypeChecking.Reduce.$fInstantiateFullDom'_$cinstantiateFull'",3)
("Agda.TypeChecking.Reduce.$fNormaliseTele_$cnormalise'",3)
("Agda.TypeChecking.Reduce.$fReduceList_$creduce'",3)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjArg",3)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjMap",3)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjMap1",3)
("Agda.TypeChecking.Substitute.$fSubstType''_$capplySubst",3)
("Agda.Utils.Benchmark.C:MonadBench",3)
("Agda.Utils.BiMap.adjust_$salterM",3)
("Agda.Utils.Boolean.C:IsBool",3)
("Agda.Utils.SemiRing.C:StarSemiRing",3)
("Agda.Utils.Singleton.C:Collection",3)
("Agda.Utils.Trie.$fEqTrie_$c==",3)
("Agda.Utils.Update.$fMonadChangeChangeT",3)
("BiMap.invLookup",3)
("BiMap.lookup",3)
("Control.Monad.Error.Class.$fMonadErroreReaderT",3)
("Control.Monad.Error.Class.$fMonadErroreStateT0",3)
("Control.Monad.Error.Class.$fMonadErroreWriterT1",3)
("Control.Monad.Reader.Class.C:MonadReader",3)
("Control.Monad.Trans.Except.$fMonadFailExceptT",3)
("Control.Monad.Trans.Reader.$fMonadFailReaderT",3)
("Control.Monad.Trans.Reader.$fMonadReaderT_$creturn",3)
("Control.Monad.Trans.State.Lazy.$fMonadFailStateT",3)
("Control.Monad.Trans.State.Lazy.$fMonadIOStateT",3)
("Control.Monad.Trans.Writer.Lazy.$fApplicativeWriterT",3)
("Control.Monad.Trans.Writer.Lazy.$fApplicativeWriterT2",3)
("Data.Either.$fShowEither_$cshowsPrec",3)
("Data.Either.$w$cshowsPrec",3)
("Data.Foldable.$fFoldableList_$cfoldMap",3)
("Data.HashMap.Internal.$fNFDataHashMap_$crnf",3)
("Data.IntMap.Internal.equal",3)
("Data.Sequence.Internal.$fOrdSeq_$c<=",3)
("Data.Sequence.Internal.$fShowSeq_$cshowsPrec",3)
("Data.Traversable.$fTraversableNonEmpty_$ctraverse",3)
("GHC.Base.$fOrdNonEmpty_$c>=",3)
("GHC.Show.$fShowNonEmpty",3)
("Internal.Helpers.natural1",3)
("Internal.Helpers.positive1",3)
("System.Process.Common.readCreateProcessStrict1",3)
("Test.QuickCheck.Arbitrary.$fArbitraryFUN",3)
("Test.QuickCheck.Arbitrary.$fCoArbitraryEndo_$ccoarbitrary",3)
("Test.QuickCheck.Gen.$wchooseEnum",3)
("Test.QuickCheck.Modifiers.$fArbitraryPositive_$carbitrary",3)
("Trie.unionWith",3)
("applyCohesionToContextOnly",3)
("base:Data.OldList.isPrefixOf",3)
("bind",3)
("checkType",3)
("complete",3)
("computePolarity",3)
("decomposeInterval'",3)
("equalSort",3)
("getBuiltinSize",3)
("getOpen",3)
("getTerm'",3)
("ghc-prim:GHC.Classes.$fOrdList",3)
("gpi",3)
("hashable-1.4.2.0-JpceLkdcZ7ZDqNNSVzcDJ:Data.Hashable.Class.$fHashableList",3)
("hsep",3)
("imax",3)
("insertImplicitPatternsT",3)
("isDistributive",3)
("isEtaVar",3)
("isInteractionMeta",3)
("isIrrelevantOrPropM",3)
("key",3)
("litType",3)
("makeOpen",3)
("mul",3)
("newProblem",3)
("newValueMeta",3)
("nubAndDuplicatesOn",3)
("pathViewAsPi'whnf",3)
("prependS",3)
("prettyMap",3)
("prettyTCMPatterns",3)
("pureEqualTerm",3)
("renaming",3)
("renamingR",3)
("runAbsToCon",3)
("scopeLookup'",3)
("setMetaNameSuggestion",3)
("shouldReduceDef",3)
("sortOf",3)
("telViewUpToPath",3)
("text",3)
("underAbstraction",3)
("viewTC",3)
("wakeupConstraints",3)
("$$",2)
("$capplySubst",2)
("$cnoShrink",2)
("$cshowsPrec",2)
("$fMonadFailTCMT",2)
("$fMonadFreshiTCMT",2)
("<+>",2)
("===",2)
("Agda.Auto.NarrowingSearch.mmcase1",2)
("Agda.Auto.NarrowingSearch.mmpcase1",2)
("Agda.Interaction.BasicOps.$fPrettyIPFace'_$cpretty",2)
("Agda.Interaction.BasicOps.$fPrettyOutputConstraint'_$cpretty",2)
("Agda.Interaction.BasicOps.$fPrettyOutputForm_$cpretty",2)
("Agda.Interaction.BasicOps.$fToConcreteOutputConstraint'_$ctoConcrete",2)
("Agda.Syntax.Abstract.$fTraversableLHSCore'_$ctraverse",2)
("Agda.Syntax.Abstract.$w$cshowsPrec7",2)
("Agda.Syntax.Abstract.Name.$fLensFixityQName_$clensFixity",2)
("Agda.Syntax.Abstract.Views.$fExprLikeExpr_$cfoldExpr",2)
("Agda.Syntax.Common.$fEqArg",2)
("Agda.Syntax.Common.$fEqRecordDirectives'_$c==",2)
("Agda.Syntax.Common.$fHasRangeRewriteEqn'_$cgetRange",2)
("Agda.Syntax.Common.$fKillRangeImportDirective'_$ckillRange",2)
("Agda.Syntax.Common.$fKillRangeRewriteEqn'_$ckillRange",2)
("Agda.Syntax.Common.$fNFDataRewriteEqn'_$crnf",2)
("Agda.Syntax.Common.$fOrdImportedName'_$ccompare",2)
("Agda.Syntax.Common.$fShowRewriteEqn'_$cshowsPrec",2)
("Agda.Syntax.Common.$fShowWithOrigin_$cshowsPrec",2)
("Agda.Syntax.Common.$w$cshowsPrec7",2)
("Agda.Syntax.Common.Pretty.$fPrettyDoc",2)
("Agda.Syntax.Common.Pretty.$fPrettyIntMap_$sprettyMap",2)
